Tasks:20	Robots:6
Iteration	timeToScheduling	scheduledPercentage	fitnessExpected	fitnessObtained	energyExpected	energyObtained	timeExpected	timeObtained	payloadExpected	payloadObtained	meanNormEnergyE	stdNormEnergyE	meanNormEnergyO	stdNormEnergyO	meanNormPayloadE	stdNormPayloadE	meanNormPayloadO	stdNormPayloadO
91	5283	1.000000	1.015726	1.007613	0.035753	0.027454	853.820823	630.920289	99	99	0.909091	0.000000	0.794434	0.161401	0.843056	0.177984	0.873611	0.150593
92	6768	0.950000	1.015835	124.246337	0.034218	0.026084	641.888796	485.509893	60	57	0.909091	0.000000	0.714278	0.236240	0.749828	0.135317	0.743056	0.174517
93	6940	0.900000	1.012100	286.195164	0.030021	0.022408	521.901560	384.323897	161	142	0.909091	0.000000	0.600735	0.395214	0.950116	0.046216	0.779630	0.385568
94	7649	0.900000	1.018244	257.251438	0.038400	0.027173	732.488272	514.863694	75	59	0.757576	0.371135	0.677626	0.474166	0.592593	0.343667	0.726852	0.823351
95	6384	0.950000	1.016439	207.779901	0.033723	0.023555	690.766334	460.666375	71	68	0.909091	0.000000	0.495478	0.286867	0.730556	0.283224	0.649074	0.357467
96	7455	0.950000	1.017687	111.360609	0.033995	0.022575	682.646270	467.363289	62	58	0.909091	0.000000	0.759894	0.441608	0.884722	0.106773	0.912500	0.162596
97	4389	0.900000	1.024064	255.566578	0.050514	0.032943	897.780569	589.302591	51	46	0.909091	0.000000	0.653749	0.442818	0.634877	0.251984	0.569012	0.462898
98	4356	0.950000	1.017248	206.143404	0.029995	0.023345	524.032241	392.870184	49	44	0.909091	0.000000	0.695860	0.295824	0.715344	0.244808	0.731217	0.270851
99	4451	0.900000	1.018698	460.413826	0.036343	0.021974	814.044810	506.070124	60	50	0.757576	0.371135	0.388852	0.308155	0.611574	0.353642	0.584722	0.556837
100	6330	1.000000	1.018849	1.008844	0.037733	0.025919	625.602159	427.224440	74	74	0.909091	0.000000	0.650332	0.191767	0.783333	0.198606	0.750694	0.244330
101	4995	0.950000	1.012361	204.631434	0.027963	0.023046	506.943100	410.175889	77	76	0.909091	0.000000	0.619127	0.359469	0.630622	0.253398	0.487434	0.331924
102	4757	0.950000	1.018503	110.546436	0.044424	0.030629	816.013328	522.291347	67	66	0.909091	0.000000	0.799563	0.429259	0.782937	0.191073	0.691270	0.546458
103	5352	1.000000	1.023825	1.008107	0.049502	0.029603	796.836515	491.897850	68	68	0.909091	0.000000	0.694197	0.267041	0.757292	0.152603	0.659028	0.258903
104	7632	0.950000	1.025042	113.097094	0.052606	0.039160	1047.248700	725.842918	90	82	0.757576	0.371135	0.632163	0.388634	0.560397	0.326853	0.554841	0.373715
105	7513	0.950000	1.012499	114.653109	0.028036	0.024291	537.865465	451.278659	113	109	0.909091	0.000000	0.798989	0.595678	0.809590	0.149044	0.667052	0.398122
106	5831	0.950000	1.025922	116.441650	0.054578	0.036500	1106.721712	702.733664	101	96	0.909091	0.000000	0.718788	0.295935	0.735648	0.143183	0.740586	0.257798
107	7640	0.950000	1.018192	115.590559	0.038156	0.022829	729.674926	449.607384	91	87	0.909091	0.000000	0.689585	0.365474	0.897884	0.112336	0.719147	0.381488
108	7623	0.950000	1.024540	207.480122	0.057791	0.047439	1088.359444	804.342181	75	73	0.909091	0.000000	0.819089	0.293845	0.816667	0.171513	0.809028	0.124511
109	7618	0.950000	1.018272	205.222079	0.035087	0.024498	677.364242	455.121305	63	62	0.909091	0.000000	0.609417	0.343276	0.668750	0.279679	0.486111	0.344709
110	7623	0.950000	1.015490	113.237544	0.030720	0.019889	609.200075	382.756001	107	101	0.909091	0.000000	0.561385	0.388466	0.810880	0.164759	0.620370	0.356884
111	5483	0.950000	1.021746	209.297349	0.047110	0.040361	759.916610	654.445213	114	110	0.909091	0.000000	0.835356	0.082056	0.868802	0.099713	0.864919	0.106941
112	4438	1.000000	1.020251	1.008191	0.042529	0.027946	724.548869	467.103645	100	100	0.909091	0.000000	0.603171	0.349138	0.691138	0.243433	0.482672	0.258467
113	5431	0.950000	1.022035	207.630537	0.058648	0.051316	1181.235621	1049.862262	36	34	0.909091	0.000000	0.718966	0.433899	0.821429	0.179442	0.622222	0.353815
114	7634	0.950000	1.018825	215.052103	0.041854	0.033503	666.421222	532.078432	98	92	0.909091	0.000000	0.742197	0.125572	0.727910	0.193892	0.722619	0.176729
115	4288	0.950000	1.027860	207.087097	0.058818	0.050488	1071.018106	904.482131	81	74	0.757576	0.371135	0.690902	0.366468	0.574603	0.339819	0.554365	0.337526
116	7635	0.950000	1.017735	117.813888	0.039625	0.026385	816.644487	496.643302	80	70	0.909091	0.000000	0.768190	0.409562	0.724028	0.188171	0.539901	0.349905
117	4463	0.950000	1.016021	118.541539	0.040441	0.026272	811.785881	549.214393	103	98	0.757576	0.371135	0.597546	0.386745	0.702331	0.358310	0.756680	0.436455
118	5053	0.900000	1.016019	479.233635	0.035316	0.025294	580.607111	430.970551	106	98	0.909091	0.000000	0.790877	0.220056	0.831019	0.135633	0.865972	0.139896
119	6945	0.950000	1.026200	209.780398	0.050587	0.033021	872.463333	580.240954	53	51	0.909091	0.000000	0.645901	0.371448	0.664286	0.224427	0.507341	0.296052
120	5909	0.950000	1.020469	211.986920	0.040388	0.029294	965.094387	696.998494	84	80	0.909091	0.000000	0.643974	0.242948	0.777546	0.189216	0.809722	0.184205
121	6930	0.900000	1.009875	575.444502	0.025219	0.021434	508.090211	411.934241	66	60	0.757576	0.371135	0.747982	0.566189	0.741402	0.387871	1.144940	1.452083
122	7648	0.900000	1.028872	450.698099	0.065855	0.049242	1280.681884	949.717528	53	50	0.757576	0.371135	0.530773	0.342136	0.523611	0.331680	0.615714	0.475437
123	4685	1.000000	1.020939	1.003557	0.042694	0.014730	808.118824	351.310062	70	70	0.909091	0.000000	0.476982	0.437827	0.713889	0.210928	0.482986	0.404232
